Trip ID,Location,Country,Category,Visitor Name,Age,Gender,Rating,Accommodation Available,Accommodation Type,Accommodation Amount,Travel Start Date,Travel End Date,Transport Mode,Destination,Transport Cost
1,Singapore,Singapore,urban,Jennifer Zimmerman,56,Male,4.4,Yes,Hotel,203,11/01/2024,11/08/2024,Cruise,"Singapore, Singapore",798
2,Cape Town,South Africa,nature,Megan Shaffer,18,Female,2.5,Yes,Resort,387,05/25/2024,06/04/2024,Train,"Cape Town, South Africa",497
3,Edinburgh,UK,historical,Melissa Singh,65,Male,2.1,Yes,Hotel,172,07/13/2024,07/24/2024,Car Rental,"Edinburgh, UK",457
4,Dubai,UAE,urban,Rachel Reynolds,56,Male,3.5,Yes,Resort,480,12/29/2024,01/06/2025,Car Rental,"Dubai, UAE",991
5,Cape Town,South Africa,nature,Danielle Wright,38,Female,1.1,Yes,Apartment,461,03/24/2025,04/04/2025,Flight,"Cape Town, South Africa",131
6,London,UK,urban,Marilyn Williamson,20,Female,2.4,Yes,Hostel,211,10/29/2024,11/11/2024,Flight,"London, UK",454
7,Tokyo,Japan,urban,Sarah Warner,34,Female,4.8,Yes,Guesthouse,71,01/26/2025,02/09/2025,Cruise,"Tokyo, Japan",951
8,Dubai,UAE,urban,Patrick Davis,29,Female,2.7,Yes,Apartment,63,05/14/2024,05/26/2024,Flight,"Dubai, UAE",487
9,Singapore,Singapore,urban,Ashley Hicks,68,Male,1.9,Yes,Resort,412,03/17/2025,03/19/2025,Bus,"Singapore, Singapore",991
10,New York,USA,urban,Randall Bernard,31,Female,4,Yes,Resort,393,11/05/2024,11/07/2024,Cruise,"New York, USA",399
11,Istanbul,Turkey,historical,Tiffany Henderson,45,Male,1.2,Yes,Apartment,222,12/31/2024,01/07/2025,Cruise,"Istanbul, Turkey",476
12,London,UK,urban,Andrew Robbins,62,Female,3.7,Yes,Hostel,372,01/31/2025,02/06/2025,Bus,"London, UK",840
13,Amsterdam,Netherlands,urban,Christy Harrington,60,Male,2.9,Yes,Apartment,332,09/01/2024,09/14/2024,Cruise,"Amsterdam, Netherlands",964
14,Cape Town,South Africa,nature,Jeremy Diaz,63,Male,1,Yes,Guesthouse,290,12/19/2024,12/30/2024,Flight,"Cape Town, South Africa",88
15,Bora Bora,French Polynesia,beach,Jamie Whitehead,19,Male,1.7,Yes,Hotel,152,11/17/2024,11/22/2024,Bus,"Bora Bora, French Polynesia",1000
16,Singapore,Singapore,urban,Melinda Graham,27,Male,4.1,Yes,Hostel,462,02/16/2025,02/17/2025,Train,"Singapore, Singapore",553
17,Bali,Indonesia,beach,Patrick Price,70,Male,4.8,Yes,Resort,320,01/22/2025,02/04/2025,Train,"Bali, Indonesia",60
18,Bangkok,Thailand,urban,Randy Bryant MD,59,Female,2.7,Yes,Hostel,363,08/30/2024,09/10/2024,Car Rental,"Bangkok, Thailand",917
19,Dubai,UAE,urban,Wendy Cooper,39,Male,2.7,Yes,Resort,290,04/17/2025,04/28/2025,Cruise,"Dubai, UAE",117
20,Barcelona,Spain,urban,Kimberly Young,33,Female,1.1,Yes,Hostel,112,05/16/2024,05/19/2024,Car Rental,"Barcelona, Spain",360
21,Bali,Indonesia,beach,Darlene Webb,70,Male,3.3,Yes,Apartment,494,12/08/2024,12/18/2024,Flight,"Bali, Indonesia",533
